timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
756708016,0.0,0.0,1.4469211,0.0,0.7495194,0.0,0.0,0.66198236,0.0,0.0,-0.001,0,0
756753023,0.0,0.0,1.4468282,0.0,0.7495501,0.0,0.0,0.6619476,0.0,0.0,-0.001,0,0
756807854,0.0,0.0,1.4468553,0.0,0.74954116,0.0,0.0,0.6619578,0.0,0.0,-0.001,0,0
756861208,0.0,0.0,1.4468967,0.0,0.74952745,0.0,0.0,0.66197324,0.0,0.0,-0.001,0,0
756906257,0.0,0.0,1.4468578,0.0,0.7495403,0.0,0.0,0.6619587,0.0,0.0,-0.001,0,0
756960408,0.0,0.0,1.4467885,0.0,0.7495633,0.0,0.0,0.6619327,0.0,0.0,-0.001,0,0
757006611,0.0,0.0,1.4467748,0.0,0.7495678,0.0,0.0,0.6619276,0.0,0.0,-0.001,0,0
757059752,0.0,0.0,1.4467704,0.0,0.7495693,0.0,0.0,0.66192585,0.0,0.0,-0.001,0,0
757106311,0.0,0.0,1.4467853,0.0,0.74956435,0.0,0.0,0.6619315,0.0,0.0,-0.001,0,0
757158717,0.0,0.0,1.4467465,0.0,0.7495772,0.0,0.0,0.661917,0.0,0.0,-0.001,0,0
757213011,0.0,0.0,1.4467721,0.0,0.74956876,0.0,0.0,0.6619265,0.0,0.0,-0.001,0,0
757257826,-0.089452446,0.03491332,1.447576,0.0,0.7479223,-0.04504534,-0.016537987,0.6620496,0.0,0.0,-0.0076242946,0,0
757303904,-0.09094175,0.032310802,1.447576,0.0,0.74794406,-0.04474229,-0.018005524,0.6620072,0.0,0.0,-0.014983861,0,0
757357275,-0.09142791,0.032354634,1.447576,0.0,0.7479323,-0.04493858,-0.018150033,0.6620032,0.0,0.0,-0.025109446,0,0
757411334,-0.091334045,0.03385836,1.447576,0.0,0.74790233,-0.045400377,-0.017555885,0.6620216,0.0,0.0,-0.03430047,0,0
757456396,-0.091508724,0.034163978,1.447576,0.0,0.7478918,-0.04556668,-0.017499262,0.66202366,0.0,0.0,-0.04298925,0,0
757510320,-0.09238244,0.034611274,1.447576,0.0,0.7478621,-0.04604119,-0.017620973,0.6620211,0.0,0.0,-0.05336115,0,0
757555665,-0.09570388,0.034483638,1.447576,0.0,0.7477875,-0.04724095,-0.018768169,0.66198945,0.0,0.0,-0.062519446,0,0
757609759,-0.094741665,0.034300704,1.447576,0.0,0.7478142,-0.04682074,-0.01851818,0.66199607,0.0,0.0,-0.0732436,0,0
757654681,-0.09503868,0.033155728,1.447576,0.0,0.7478324,-0.046553507,-0.019045223,0.6619794,0.0,0.0,-0.08312375,0,0
757708750,-0.0939967,0.03457026,1.447576,0.0,0.7478256,-0.04663125,-0.018170668,0.66200614,0.0,0.0,-0.09636652,0,0
757753953,-0.0936805,0.033774357,1.447576,0.0,0.7478504,-0.04625005,-0.018364029,0.6619996,0.0,0.0,-0.10753049,0,0
757808001,-0.09766621,0.030240735,1.447576,0.0,0.74783504,-0.046572853,-0.021006297,0.66191566,0.0,0.0,-0.1202045,0,0
757853620,-0.09607353,0.0327146,1.447576,0.0,0.74781793,-0.046794698,-0.019552907,0.66196394,0.0,0.0,-0.130121,0,0
757907131,-0.10040831,0.030851413,1.447576,0.0,0.74775684,-0.04779988,-0.021685164,0.6618947,0.0,0.0,-0.14426808,0,0
757961848,-0.101881936,0.036466494,1.447576,0.0,0.7475914,-0.05020558,-0.02007059,0.6619544,0.0,0.0,-0.15851878,0,0
758007588,-0.097989455,0.037404113,1.447576,0.0,0.747666,-0.049060207,-0.018431153,0.66200364,0.0,0.0,-0.17033218,0,0
758060488,-0.10054461,0.03650178,1.447576,0.0,0.747624,-0.049717337,-0.019614752,0.6619681,0.0,0.0,-0.18540533,0,0
758106707,-0.10513832,0.031488974,1.447576,0.0,0.7476269,-0.04977879,-0.023011813,0.66185087,0.0,0.0,-0.20032151,0,0
758159678,-0.10120326,0.039342888,1.447576,0.0,0.7475398,-0.050901886,-0.018768981,0.6619977,0.0,0.0,-0.21178901,0,0
758204744,-0.105982736,0.03242884,1.447576,0.0,0.7475837,-0.050404865,-0.022939404,0.6618548,0.0,0.0,-0.22664516,0,0
758259482,-0.10335135,0.03564082,1.447576,0.0,0.747574,-0.050482135,-0.020866059,0.6619285,0.0,0.0,-0.24255252,0,0
758304788,-0.10429985,0.03149216,1.447576,0.0,0.7476476,-0.04946641,-0.022733148,0.6618605,0.0,0.0,-0.25763714,0,0
758358675,-0.10932792,0.032831214,1.447576,0.0,0.74748856,-0.051788084,-0.023895763,0.66182154,0.0,0.0,-0.2750472,0,0
758412787,-0.11271577,0.038383275,1.447576,0.0,0.7472593,-0.05488727,-0.02293851,0.6618646,0.0,0.0,-0.2941774,0,0
758457246,-0.10576855,0.035260484,1.447576,0.0,0.7475216,-0.05126001,-0.02180844,0.6618974,0.0,0.0,-0.30914253,0,0
